player,hands,all-in_adj_bb,all-in_adj_bb_100,my_c_all-in_adj,vpip,pfr,call_any_pfr,3bet_pf,fold_to_3bet,4bet_pf,fold_to_4bet+,limp,total_af,cbet_f,cbet_t,cbet_r,fold_to_f_cbet,fold_to_t_cbet,fold_to_r_cbet,xr_flop,xr_turn,xr_river,fold_to_f_xr,fold_to_t_xr,fold_to_r_xr
BANANZAHOLY,1098,4.96,0.45,1.24,23.94,19.22,14.53,9.38,67.37,9.2,40.0,0.5,1.93,51.09,50.0,100.0,48.65,12.5,0.0,5.0,10.71,7.69,0.0,100.0,50.0
gantas,1096,-186.52,-17.02,-46.63,28.16,13.19,31.1,3.19,89.02,1.25,100.0,2.33,2.63,62.71,73.33,40.0,66.25,58.82,33.33,0.0,3.85,0.0,100.0,100.0,0.0
smeker650,1093,-499.52,-45.7,-124.88,44.35,30.44,33.83,12.14,59.09,12.26,30.0,0.17,3.03,80.89,54.39,27.27,25.71,50.0,66.67,17.78,16.22,16.67,20.0,50.0,50.0
QuiJigan28,1092,-407.2,-37.29,-101.8,35.09,18.44,30.08,8.87,85.56,3.37,60.0,7.1,2.36,50.0,42.86,100.0,54.55,28.57,33.33,13.85,4.35,0.0,33.33,42.11,50.0
tomi290522,1090,-539.08,-49.46,-134.77,36.42,9.76,33.88,2.39,77.01,3.53,100.0,26.22,1.63,65.91,15.38,100.0,39.32,53.85,66.67,6.67,0.0,10.0,0.0,50.0,100.0
Tuklux,1087,-882.08,-81.15,-220.52,68.06,3.16,58.87,1.23,80.6,1.52,71.43,75.54,0.99,39.13,50.0,100.0,40.44,73.33,75.0,3.57,2.25,1.89,50.0,42.11,0.0
qc_Remz,1086,374.32,34.47,93.58,24.86,17.59,20.25,8.17,55.42,10.0,20.0,0.17,1.79,65.71,64.71,0.0,34.85,35.0,75.0,7.27,21.43,0.0,33.33,50.0,100.0
vananej,1084,503.72,46.47,125.93,23.89,20.21,11.26,10.13,76.32,9.33,41.67,0.0,4.64,62.96,52.17,75.0,63.64,75.0,47.36400357462019,12.9,7.69,0.0,0.0,42.11,50.0
Honigbienchen,1082,-25.12,-2.32,-6.28,22.29,17.9,11.62,5.19,77.17,9.89,40.0,0.33,1.11,39.22,25.0,51.94104895104895,51.52,50.0,66.67,10.26,0.0,0.0,50.0,42.11,50.0
chiman8,1082,-914.88,-84.55,-228.72,31.05,26.67,19.73,20.34,45.24,7.89,9.09,0.34,3.39,95.83,96.97,87.5,12.5,41.67,20.0,0.0,0.0,0.0,36.36,100.0,50.0
Krata122,1080,-644.0,-59.63,-161.0,25.31,20.27,13.62,9.78,74.67,9.86,18.18,0.52,2.13,65.88,60.71,40.0,34.38,28.57,50.0,22.58,20.0,0.0,0.0,33.33,0.0
GoldReaper,1078,-164.6,-15.27,-41.15,50.14,3.05,44.89,2.38,95.12,0.0,59.3,54.84,2.29,62.5,100.0,100.0,44.12,56.52,50.0,6.45,0.0,0.0,40.0,100.0,50.0
Fish104357,1075,-103.28,-9.61,-25.82,37.37,25.46,30.5,12.97,56.84,5.56,22.22,0.51,1.92,40.0,88.24,60.0,44.87,42.11,60.0,0.0,9.52,0.0,66.67,100.0,50.0
