player,hands,all-in_adj_bb,all-in_adj_bb_100,my_c_all-in_adj,vpip,pfr,call_any_pfr,3bet_pf,fold_to_3bet,4bet_pf,fold_to_4bet+,limp,total_af,cbet_f,cbet_t,cbet_r,fold_to_f_cbet,fold_to_t_cbet,fold_to_r_cbet,xr_flop,xr_turn,xr_river,fold_to_f_xr,fold_to_t_xr,fold_to_r_xr
HooLiGanS130,10114,826.68,8.17,206.67,18.4,16.3,6.74,6.43,79.97,7.61,49.25,0.14,2.29,58.97,65.73,53.06,37.29,47.83,50.0,8.06,1.59,5.0,37.14,27.27,50.0
leofilhomito,10098,464.2,4.6,116.05,22.7,20.0,8.41,10.3,79.73,10.11,48.51,0.0,2.1,76.33,42.96,69.81,39.65,34.38,50.0,7.31,2.74,8.24,56.0,33.33,50.0
RiggedBoy,10093,1043.64,10.34,260.91,23.05,18.54,11.12,8.28,77.73,8.26,66.25,0.95,2.64,58.96,54.07,54.72,51.12,46.67,44.44,6.83,10.71,4.55,41.94,36.36,50.0
Ziege198917,10055,684.2,6.8,171.05,22.26,19.01,9.52,8.94,79.84,8.13,58.75,0.16,3.54,65.15,64.81,52.0,44.44,45.71,85.71,16.17,9.43,3.23,51.35,31.25,60.0
AbuseuDNA,9996,-237.2,-2.37,-59.3,19.9,16.83,7.92,7.64,86.2,7.92,78.13,0.21,4.09,73.31,64.53,44.26,59.66,38.46,50.0,6.49,4.35,0.0,81.82,61.54,100.0
lek0lud,9951,-1079.04,-10.84,-269.76,23.99,20.19,11.5,11.03,70.33,11.49,40.4,0.51,2.34,52.36,45.08,68.29,40.0,25.42,23.53,11.11,11.19,16.28,32.35,46.15,44.44
BloodyPaladin,9928,28.96,0.29,7.24,23.57,19.6,6.99,6.32,79.78,9.07,54.69,2.89,2.64,62.82,13.6,46.67,62.91,48.0,85.71,2.81,7.39,4.11,52.0,57.14,40.0
HolyDvl,9816,-521.96,-5.32,-130.49,22.66,19.17,9.38,6.64,83.36,9.31,49.3,0.0,4.02,81.5,48.26,39.66,54.12,69.57,33.33,17.88,9.38,1.45,51.92,64.71,75.0
Zeppelin8686,9759,511.84,5.24,127.96,17.89,15.49,7.14,8.46,77.85,9.47,65.0,0.09,2.22,56.07,60.87,60.98,43.59,39.53,58.33,10.19,10.74,0.0,22.22,33.33,50.0
JB.Murder,9753,443.44,4.55,110.86,23.3,19.62,10.61,7.56,76.23,9.54,53.16,0.06,1.79,65.57,54.5,65.12,35.46,40.26,50.0,8.52,4.91,4.05,37.5,42.86,50.0
cubadoo,9701,380.8,3.93,95.2,21.56,17.95,9.66,7.2,81.06,6.66,57.58,0.17,2.1,53.32,42.67,60.71,39.13,43.14,53.85,11.91,5.6,3.28,33.33,45.45,50.0
Slavik Mas,9671,156.72,1.62,39.18,23.2,19.13,12.2,6.92,74.42,6.26,64.15,0.11,2.84,66.37,46.38,65.91,45.75,36.99,50.0,11.11,6.09,5.45,63.33,33.33,50.0
patriot424,9648,1054.2,10.93,263.55,21.03,16.14,10.95,7.96,78.94,6.49,68.18,1.96,2.21,58.7,46.41,66.67,53.6,47.37,23.08,5.54,6.94,3.57,48.0,25.0,0.0
