all-in_adj_bb_100,vpip,pfr,call_any_pfr,3bet_pf,fold_to_3bet,4bet_pf,fold_to_4bet+,limp,total_af,cbet_f,cbet_t,cbet_r,fold_to_f_cbet,fold_to_t_cbet,fold_to_r_cbet,xr_flop,xr_turn,xr_river,fold_to_f_xr,fold_to_t_xr,fold_to_r_xr
3.79,21.41,17.82,10.0,7.16,79.78,7.39,54.78,0.22,1.53,52.39,37.08,41.67,47.46,36.14,52.63,7.5,4.74,3.9,33.33,20.0,66.67
2.25,22.63,14.17,19.58,4.5,78.59,3.42,83.33,0.91,2.3,82.13,33.95,31.25,54.36,56.52,45.0,7.66,5.02,4.62,60.98,54.55,50.0
7.91,23.75,19.38,11.72,9.45,75.72,8.26,61.95,0.56,2.13,61.98,56.57,41.86,44.33,43.33,61.9,8.97,8.17,5.37,40.0,47.83,100.0
-10.08,22.33,16.37,16.25,7.06,68.52,6.52,43.48,0.8,1.27,42.1,61.75,42.22,42.21,37.66,39.02,6.08,4.44,4.7,27.27,52.17,37.5
-10.57,21.67,10.26,25.85,1.46,66.92,2.72,65.85,2.69,0.61,27.0,56.0,53.85,31.56,33.09,38.75,1.99,2.93,13.27,8.33,22.22,0.0
-2.48,23.06,19.9,8.04,7.96,82.64,7.35,70.45,0.74,2.29,43.34,47.12,36.84,48.5,47.37,55.56,12.9,5.5,5.62,50.0,20.0,75.0
-10.73,16.93,14.34,7.45,7.84,78.97,10.0,61.76,0.11,2.27,51.06,46.1,48.0,44.62,42.11,69.23,9.82,7.86,6.94,38.1,55.56,50.0
14.03,24.96,21.98,8.99,10.4,77.44,8.67,63.87,0.07,3.1,69.13,40.98,73.97,44.0,48.44,30.0,15.12,7.51,4.65,40.3,52.38,62.5
6.9,25.33,20.32,12.08,8.03,81.62,4.44,68.22,1.13,2.47,57.08,37.41,58.33,47.31,56.0,71.43,13.9,5.0,2.83,48.94,25.0,16.67
-10.57,24.32,21.19,9.15,11.24,77.23,9.3,64.23,0.26,2.2,59.7,37.79,57.14,44.3,43.37,26.32,7.49,3.08,5.68,46.0,25.0,33.33
